regiao,Código,municipio
Porto Velho,110001,Candeias do Jamari
Porto Velho,110001,Guajará-Mirim
Porto Velho,110001,Itapuã do Oeste
Porto Velho,110001,Nova Mamoré
Porto Velho,110001,Porto Velho
Ariquemes,110002,Alto Paraíso
Ariquemes,110002,Ariquemes
Ariquemes,110002,Buritis
Ariquemes,110002,Cacaulândia
Ariquemes,110002,Campo Novo de Rondônia
Ariquemes,110002,Cujubim
Ariquemes,110002,Monte Negro
Ariquemes,110002,Rio Crespo
Jaru,110003,Governador Jorge Teixeira
Jaru,110003,Jaru
Jaru,110003,Machadinho d'Oeste
Jaru,110003,Theobroma
Jaru,110003,Vale do Anari
Ji-Paraná,110004,Alvorada d'Oeste
Ji-Paraná,110004,Costa Marques
Ji-Paraná,110004,Ji-Paraná
Ji-Paraná,110004,Mirante da Serra
Ji-Paraná,110004,Nova União
Ji-Paraná,110004,Ouro Preto do Oeste
Ji-Paraná,110004,Presidente Médici
Ji-Paraná,110004,São Francisco do Guaporé
Ji-Paraná,110004,São Miguel do Guaporé
Ji-Paraná,110004,Seringueiras
Ji-Paraná,110004,Teixeirópolis
Ji-Paraná,110004,Urupá
Ji-Paraná,110004,Vale do Paraíso
Cacoal,110005,Alta Floresta d'Oeste
Cacoal,110005,Alto Alegre dos Parecis
Cacoal,110005,Cacoal
Cacoal,110005,Castanheiras
Cacoal,110005,Espigão d'Oeste
Cacoal,110005,Ministro Andreazza
Cacoal,110005,Nova Brasilândia d'Oeste
Cacoal,110005,Novo Horizonte do Oeste
Cacoal,110005,Parecis
Cacoal,110005,Pimenta Bueno
Cacoal,110005,Primavera de Rondônia
Cacoal,110005,Rolim de Moura
Cacoal,110005,Santa Luzia d'Oeste
Cacoal,110005,São Felipe d'Oeste
Vilhena,110006,Cabixi
Vilhena,110006,Cerejeiras
Vilhena,110006,Chupinguaia
Vilhena,110006,Colorado do Oeste
Vilhena,110006,Corumbiara
Vilhena,110006,Pimenteiras do Oeste
Vilhena,110006,Vilhena
