Região geográfica imediata[1],Código,Municípios
Porto Velho,110001,Candeias do Jamari
Porto Velho,110001,Guajará-Mirim
Porto Velho,110001,Itapuã do Oeste
Porto Velho,110001,Nova Mamoré
Porto Velho,110001,Porto Velho
Ariquemes,110002,Alto Paraíso
Ariquemes,110002,Ariquemes
Ariquemes,110002,Buritis
Ariquemes,110002,Cacaulândia
Ariquemes,110002,Campo Novo de Rondônia
Ariquemes,110002,Cujubim
Ariquemes,110002,Monte Negro
Ariquemes,110002,Rio Crespo
Jaru,110003,Governador Jorge Teixeira
Jaru,110003,Jaru
Jaru,110003,Machadinho d'Oeste
Jaru,110003,Theobroma
Jaru,110003,Vale do Anari
